"","Observed Share of Wealth Garnered by Households Above Tax Threshold","Simulated Share of Wealth Garnered by Households Above Tax Threshold Before Tax in Year t","Simulated Post-Tax Share of Wealth Garnered by Households Above Tax Threshold","Simulated Post-Tax and Transfer Share of Wealth Garnered by Households Above Tax Threshold"
"1",0.310500908567415,0.310500908567415,0.308458671731636,0.308466936500803
"2",0.312339517904412,0.307973380399416,0.305781131336577,0.305791061253185
"3",0.360451110802701,0.351285906908906,0.349358812714587,0.349368768794265
"4",0.35494311541078,0.342437225151503,0.340939523096702,0.340947899330975
"5",0.338354400484333,0.323460255525581,0.322309109108979,0.322316005808214
"6",0.346643758720346,0.329294129175596,0.328234089456236,0.328240892876634
"7",0.35142954889387,0.331902733272006,0.330951376058089,0.330957740920289
"8",0.356048027197152,0.334453402922821,0.333477352006975,0.333485485440179
"9",0.374981967521402,0.350845923512285,0.349860719703058,0.349869280817939
"10",0.402142142719183,0.37554013244834,0.374773068534857,0.37478034428718
"11",0.391333690409103,0.363622585985922,0.3629308741127,0.362938513793925
